City,State,Total_Sales,
ANCHORAGE              ,AK,2843630.47,
ARVADA                 ,CO,3846050.52,
CLEARWATER             ,FL,4769050.68,
CORAL SPRINGS          ,FL,3923840.38,
DAYTONA BEACH          ,FL,4248969.39,
CRYSTAL LAKE           ,IL,5302792.14,
CICERO                 ,KS,3792796.00,
CITY OF INDUSTRY       ,KS,3952467.78,
CHESTERFIELD           ,MO,3995808.43,
CINCINNATI             ,OH,12155068.74,
COLUMBUS               ,OH,3376051.51,
CONCORD                ,OH,5265693.39,
CLARKSVILLE            ,TN,4824079.39,
CONROE                 ,TX,3075330.28,
DALLAS                 ,TX,5784964.62,
CHESAPEAKE             ,VA,5368442.95,
APPLETON               ,WI,3272714.44,
